,订单列表,股票名称,代码,市场,价格,股数,平仓日期,类型,开仓日期,卖出价格,卖出股数,持股天数,盈利次数,亏损次数,盈利,亏损,收益率%,备注
0,sz39930020220224buy,sz399300,sz399300,1,4529.32,1000,20220307,buy,20220224,4352.78,1000,11,0,1,0.0,-176540.0,-3.9, 
1,sz39930020220307buy,sz399300,sz399300,1,4352.78,1000,20220309,buy,20220307,4226.35,1000,2,0,1,0.0,-126430.0,-2.9, 
2,sz39930020220307sell,sz399300,sz399300,1,4352.78,1000,20220307,sell,20220307,0.0,0,0,0,0,0.0,0.0,0.0,
3,sz39930020220309buy,sz399300,sz399300,1,4226.35,1000,20220310,buy,20220309,4292.84,1000,1,1,0,66490.0,0.0,1.57, 
4,sz39930020220309sell,sz399300,sz399300,1,4226.35,1000,20220309,sell,20220309,0.0,0,0,0,0,0.0,0.0,0.0,
5,sz39930020220310buy,sz399300,sz399300,1,4292.84,1000,20220311,buy,20220310,4306.52,1000,1,1,0,13680.0,0.0,0.32, 
6,sz39930020220310sell,sz399300,sz399300,1,4292.84,1000,20220310,sell,20220310,0.0,0,0,0,0,0.0,0.0,0.0,
7,sz39930020220311buy,sz399300,sz399300,1,4306.52,1000,20220315,buy,20220311,3983.81,1000,4,0,1,0.0,-322710.0,-7.49, 
8,sz39930020220311sell,sz399300,sz399300,1,4306.52,1000,20220311,sell,20220311,0.0,0,0,0,0,0.0,0.0,0.0,
9,sz39930020220314buy,sz399300,sz399300,1,4174.76,1000,20220316,buy,20220314,4156.08,1000,2,0,1,0.0,-18680.0,-0.45, 
10,sz39930020220315buy,sz399300,sz399300,1,3983.81,1000,20220317,buy,20220315,4237.7,1000,2,1,0,253890.0,0.0,6.37, 
11,sz39930020220315sell,sz399300,sz399300,1,3983.81,1000,20220315,sell,20220315,0.0,0,0,0,0,0.0,0.0,0.0,
12,sz39930020220316buy,sz399300,sz399300,1,4156.08,1000,20220318,buy,20220316,4265.9,1000,2,1,0,109820.0,0.0,2.64, 
13,sz39930020220316sell,sz399300,sz399300,1,4156.08,1000,20220316,sell,20220316,0.0,0,0,0,0,0.0,0.0,0.0,
14,sz39930020220317buy,sz399300,sz399300,1,4237.7,1000,20220322,buy,20220317,4255.3,1000,5,1,0,17600.0,0.0,0.42, 
15,sz39930020220317sell,sz399300,sz399300,1,4237.7,1000,20220317,sell,20220317,0.0,0,0,0,0,0.0,0.0,0.0,
16,sz39930020220318buy,sz399300,sz399300,1,4265.9,1000,20220324,buy,20220318,4251.31,1000,6,0,1,0.0,-14590.0,-0.34, 
17,sz39930020220318sell,sz399300,sz399300,1,4265.9,1000,20220318,sell,20220318,0.0,0,0,0,0,0.0,0.0,0.0,
18,sz39930020220321buy,sz399300,sz399300,1,4258.75,1000,20220331,buy,20220321,4222.6,1000,10,0,1,0.0,-36150.0,-0.85, 
19,sz39930020220322buy,sz399300,sz399300,1,4255.3,1000,20220401,buy,20220322,4276.16,1000,10,1,0,20860.0,0.0,0.49, 
20,sz39930020220322sell,sz399300,sz399300,1,4255.3,1000,20220322,sell,20220322,0.0,0,0,0,0,0.0,0.0,0.0,
21,sz39930020220324sell,sz399300,sz399300,1,4251.31,1000,20220324,sell,20220324,0.0,0,0,0,0,0.0,0.0,0.0,
22,sz39930020220330buy,sz399300,sz399300,1,4254.1,1000,20220406,buy,20220330,4263.84,1000,7,1,0,9740.0,0.0,0.23, 
23,sz39930020220331buy,sz399300,sz399300,1,4222.6,1000,20220407,buy,20220331,4209.1,1000,7,0,1,0.0,-13500.0,-0.32, 
24,sz39930020220331sell,sz399300,sz399300,1,4222.6,1000,20220331,sell,20220331,0.0,0,0,0,0,0.0,0.0,0.0,
25,sz39930020220401buy,sz399300,sz399300,1,4276.16,1000,20220415,buy,20220401,4188.75,1000,14,0,1,0.0,-87410.0,-2.04, 
26,sz39930020220401sell,sz399300,sz399300,1,4276.16,1000,20220401,sell,20220401,0.0,0,0,0,0,0.0,0.0,0.0,
27,sz39930020220406buy,sz399300,sz399300,1,4263.84,1000,20220425,buy,20220406,3814.91,1000,19,0,1,0.0,-448930.0,-10.53, 
28,sz39930020220406sell,sz399300,sz399300,1,4263.84,1000,20220406,sell,20220406,0.0,0,0,0,0,0.0,0.0,0.0,
29,sz39930020220407buy,sz399300,sz399300,1,4209.1,1000,20220426,buy,20220407,3784.12,1000,19,0,1,0.0,-424980.0,-10.1, 
30,sz39930020220407sell,sz399300,sz399300,1,4209.1,1000,20220407,sell,20220407,0.0,0,0,0,0,0.0,0.0,0.0,
31,sz39930020220411buy,sz399300,sz399300,1,4100.07,1000,20220427,buy,20220411,3895.54,1000,16,0,1,0.0,-204530.0,-4.99, 
32,sz39930020220415sell,sz399300,sz399300,1,4188.75,1000,20220415,sell,20220415,0.0,0,0,0,0,0.0,0.0,0.0,
33,sz39930020220425buy,sz399300,sz399300,1,3814.91,1000,20220512,buy,20220425,3958.74,1000,17,1,0,143830.0,0.0,3.77, 
34,sz39930020220425sell,sz399300,sz399300,1,3814.91,1000,20220425,sell,20220425,0.0,0,0,0,0,0.0,0.0,0.0,
